ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2013-12,2013,12,0,25.7142857142857,27.468508,30.2857142857143,46.1428571428571,64.2741022857143,76.7142857142857,1,15036,513,0.0,0.0,0.0,0,0,0
2014-01,2014,01,0,25.571428571428577,27.576574285714273,30.214285714285698,48.142857142857125,66.79029510714285,79.4642857142857,1,15036,513,0.0,0.0,0.0,0,0,0
2014-02,2014,02,0,24.64285714285712,27.12947214285715,29.75,53.75,70.93406660714288,84.5,1,15036,513,0.0,0.0,0.0,0,0,0
2014-03,2014,03,3,24.82857142857144,27.194612457142842,29.74285714285716,55.20000000000001,72.69801534285715,86.65714285714287,1,15036,513,0.4765162399999999,3.990423,4.51768372,0,0,0
2014-04,2014,04,4,24.535714285714274,27.134638821428577,29.857142857142854,55.857142857142854,75.2000820357143,89.4285714285714,1,15036,513,0.438176925,6.650705,2.0062060749999997,0,0,0
2014-05,2014,05,2,24.5,26.894407107142825,29.5357142857143,55.9285714285714,75.38161692857143,89.64285714285714,1,15036,513,0.28651904,3.3253525,0.792123325,0,0,0
2014-06,2014,06,1,24.5142857142857,27.050667314285697,29.97142857142856,46.428571428571445,68.3326002857143,84.94285714285714,1,15036,513,0.14563572,1.330141,0.43702884,0,0,0
2014-07,2014,07,1,23.67857142857145,26.5462365,29.7857142857143,45.17857142857142,66.10046460714283,81.14285714285715,1,15036,513,0.24079465,1.66267625,4.61895475,0,0,0
2014-08,2014,08,0,24.02857142857144,26.7133151142857,29.85714285714286,40.34285714285714,62.357600428571416,77.25714285714285,1,15036,513,0.0,0.0,0.0,0,0,0
2014-09,2014,09,2,24.642857142857153,26.965054428571428,30.0,43.42857142857142,64.32251078571429,77.71428571428572,1,15036,513,0.244495625,3.3253525,4.6304045,0,0,0
2014-10,2014,10,0,25.142857142857125,27.3442110357143,30.357142857142875,40.42857142857142,61.258507071428554,74.24999999999997,1,15036,513,0.0,0.0,0.0,0,0,0
2014-11,2014,11,0,25.17142857142856,27.23117305714286,30.0,46.6,64.94141525714286,77.80000000000001,1,15036,513,0.0,0.0,0.0,0,0,0
2014-12,2014,12,0,25.464285714285726,27.377296964285698,30.0,47.42857142857142,65.23324996428573,76.89285714285715,1,15036,513,0.0,0.0,0.0,0,0,0
2015-01,2015,01,1,25.5,27.40444078571425,29.89285714285715,47.39285714285715,65.97027603571428,77.75,1,15036,513,0.240816975,1.66267625,4.6304045,0,0,0
2015-02,2015,02,12,25.2857142857143,27.270800214285725,29.892857142857125,51.32142857142857,71.2236040357143,82.82142857142858,1,15036,513,0.4960936425,19.952115,6.0562999,0,0,0
2015-03,2015,03,15,24.14285714285716,26.647304714285717,29.371428571428577,56.971428571428575,76.14048614285716,90.45714285714283,2,15036,513,0.31491239800000004,19.952114599999998,0.668864534,1,0,0
2015-04,2015,04,2,24.642857142857125,26.980478107142847,29.678571428571423,57.357142857142854,75.46933517857144,88.74999999999997,1,15036,513,0.20862944,3.3253525,0.41380254000000005,0,0,0
2015-05,2015,05,25,24.857142857142883,27.516562571428558,30.171428571428585,51.42857142857142,70.45026717142858,84.45714285714287,1,15036,513,0.8100056500000001,33.253525,2.7482366799999998,0,0,0
2015-06,2015,06,16,24.107142857142875,26.68451835714285,29.428571428571427,50.35714285714285,69.88198610714285,83.64285714285714,1,15036,513,0.22580411625,26.60282,0.5978727825000001,0,0,0
2015-07,2015,07,5,23.5,26.285951428571426,29.2857142857143,49.714285714285694,69.16218739285715,85.6785714285714,1,15036,513,0.18856526,8.31338125,0.3794199075,0,0,0
2015-08,2015,08,2,24.02857142857144,26.516878457142855,29.3142857142857,44.65714285714288,64.58371819999999,77.54285714285713,1,15036,513,0.19559077,2.660282,3.6997372,0,0,0
